Zone,Area,Crime_Type,Time,Date,Status
North Nagpur,Panchpaoli,Harassment,13:30,2025-06-25,Resolved
North Nagpur,Mankapur,Fraud,07:15,2025-02-08,Pending
North Nagpur,Jaripatka,Chain Snatching,03:00,2025-03-21,Pending
South Nagpur,Sakkardara,Harassment,16:30,2025-05-01,Pending
West Nagpur,Gittikhadan,Theft,10:15,2025-04-04,Resolved
West Nagpur,Bharat Nagar,Fraud,14:15,2025-02-16,Pending
East Nagpur,Itwari,Fraud,23:15,2025-05-03,Resolved
West Nagpur,Bharat Nagar,Fraud,23:00,2025-01-15,Resolved
South Nagpur,Sakkardara,Harassment,15:30,2025-01-18,Pending
East Nagpur,Hanuman Nagar,Chain Snatching,09:15,2025-03-31,Pending
South Nagpur,Sakkardara,Harassment,08:15,2025-05-23,Pending
West Nagpur,Dharampeth,Assault,02:00,2025-05-26,Pending
West Nagpur,Wadi,Chain Snatching,20:30,2025-03-07,Resolved
West Nagpur,Wadi,Assault,15:30,2025-01-29,Pending
East Nagpur,Gandhibagh,Robbery,10:30,2025-02-27,Resolved
North Nagpur,Jaripatka,Chain Snatching,03:45,2025-01-27,Resolved
South Nagpur,Ajni,Theft,03:30,2025-03-24,Pending
South Nagpur,Ajni,Fraud,05:15,2025-05-14,Pending
West Nagpur,Dharampeth,Harassment,20:30,2025-03-19,Pending
West Nagpur,Wadi,Robbery,02:30,2025-05-27,Pending
South Nagpur,Hudkeshwar,Fraud,,2025-02-03,Pending
East Nagpur,Gandhibagh,Harassment,12:00,2025-01-11,Pending
North Nagpur,Panchpaoli,Robbery,08:00,2025-02-14,Pending
North Nagpur,Mankapur,Chain Snatching,01:00,2025-02-21,Pending
West Nagpur,Gittikhadan,,15:00,2025-03-08,Pending
East Nagpur,Lakadganj,Harassment,11:00,,Pending
East Nagpur,Hanuman Nagar,Theft,07:30,2025-04-14,Resolved
South Nagpur,Sakkardara,Fraud,,2025-06-29,Resolved
East Nagpur,Hanuman Nagar,Harassment,00:45,2025-07-05,Resolved
North Nagpur,Panchpaoli,Theft,10:45,2025-03-28,Resolved
West Nagpur,Wadi,Harassment,09:00,2025-06-04,Pending
East Nagpur,Gandhibagh,Assault,13:30,2025-05-13,Pending
East Nagpur,Hanuman Nagar,Fraud,15:15,2025-04-23,Resolved
East Nagpur,Itwari,Assault,00:45,2025-02-17,Pending
North Nagpur,Indora,Harassment,17:45,2025-06-01,Pending
East Nagpur,Itwari,Assault,21:00,2025-05-02,Pending
South Nagpur,Ajni,Harassment,03:45,2025-07-04,Resolved
South Nagpur,Ajni,Assault,03:45,2025-02-13,Pending
South Nagpur,Sakkardara,Assault,10:30,2025-04-04,Pending
West Nagpur,Gittikhadan,Harassment,22:45,2025-01-22,Resolved
East Nagpur,Gandhibagh,Robbery,16:45,2025-07-07,Pending
East Nagpur,Itwari,Fraud,02:15,2025-01-17,Resolved
North Nagpur,Indora,Chain Snatching,15:00,2025-02-28,Resolved
West Nagpur,Dharampeth,Robbery,18:15,2025-06-20,Pending
West Nagpur,Dharampeth,Assault,16:15,2025-05-07,Pending
East Nagpur,Lakadganj,Chain Snatching,16:45,2025-01-15,Resolved
South Nagpur,Ajni,Chain Snatching,04:00,2025-06-08,Resolved
North Nagpur,Indora,Assault,08:30,2025-04-05,Pending
South Nagpur,Ajni,Assault,08:45,2025-01-10,Resolved
West Nagpur,Bharat Nagar,Harassment,07:15,2025-03-15,Pending
North Nagpur,Mankapur,Chain Snatching,19:45,2025-04-24,Resolved
South Nagpur,Hudkeshwar,Robbery,00:30,2025-04-20,Pending
North Nagpur,Panchpaoli,Assault,18:00,2025-05-13,Resolved
North Nagpur,Jaripatka,Robbery,16:15,2025-01-16,Resolved
North Nagpur,Jaripatka,Robbery,23:45,2025-05-10,Resolved
North Nagpur,Jaripatka,Harassment,13:45,2025-03-07,Resolved
South Nagpur,Sakkardara,Chain Snatching,03:30,2025-02-07,Pending
South Nagpur,Mangalwari,Robbery,00:15,2025-03-25,Pending
South Nagpur,Mangalwari,Fraud,14:45,2025-02-06,Resolved
South Nagpur,Sakkardara,Assault,23:00,2025-01-11,Pending
West Nagpur,Gittikhadan,Robbery,17:30,2025-03-15,Resolved
West Nagpur,Dharampeth,Harassment,22:30,2025-05-09,Pending
East Nagpur,Lakadganj,Theft,04:30,2025-02-12,Resolved
North Nagpur,Panchpaoli,Fraud,23:00,2025-04-13,Pending
North Nagpur,Indora,Assault,11:15,2025-04-17,Resolved
West Nagpur,Bharat Nagar,Theft,02:45,2025-05-11,Resolved
South Nagpur,Mangalwari,Chain Snatching,19:45,2025-06-02,Pending
North Nagpur,Jaripatka,Chain Snatching,16:45,2025-04-28,Resolved
South Nagpur,Ajni,Chain Snatching,17:15,2025-03-02,Resolved
West Nagpur,Wadi,Fraud,07:30,2025-05-29,Pending
East Nagpur,Gandhibagh,Theft,17:45,2025-02-08,Pending
North Nagpur,Indora,Robbery,14:15,2025-02-06,Pending
South Nagpur,Sakkardara,Theft,17:30,2025-05-08,Resolved
North Nagpur,Jaripatka,Chain Snatching,09:45,2025-04-08,Pending
East Nagpur,Itwari,Theft,14:00,2025-05-24,Resolved
South Nagpur,Sakkardara,Assault,,2025-06-02,Pending
West Nagpur,Wadi,Chain Snatching,10:30,2025-03-16,Pending
South Nagpur,Hudkeshwar,Chain Snatching,23:45,2025-06-09,Resolved
East Nagpur,Gandhibagh,Chain Snatching,23:00,2025-03-09,Pending
East Nagpur,Lakadganj,Assault,16:30,2025-05-09,Resolved
South Nagpur,Ajni,Theft,17:30,2025-01-25,Pending
West Nagpur,Gittikhadan,Robbery,19:15,2025-04-01,Resolved
North Nagpur,Indora,Chain Snatching,00:45,2025-05-26,Pending
North Nagpur,Mankapur,Chain Snatching,22:15,2025-01-20,Resolved
West Nagpur,Wadi,Assault,05:00,2025-04-09,Pending
East Nagpur,Lakadganj,Harassment,,2025-02-04,Pending
South Nagpur,Hudkeshwar,Chain Snatching,02:15,2025-05-24,Resolved
South Nagpur,Mangalwari,Harassment,20:45,2025-04-07,Resolved
West Nagpur,Gittikhadan,Harassment,,2025-04-09,Resolved
North Nagpur,Panchpaoli,Chain Snatching,00:15,2025-02-18,Pending
East Nagpur,Hanuman Nagar,Harassment,02:30,2025-05-08,Resolved
West Nagpur,Dharampeth,Fraud,22:45,2025-03-13,Resolved
North Nagpur,Indora,Assault,13:30,2025-02-09,Resolved
East Nagpur,Gandhibagh,Theft,23:30,2025-01-29,Resolved
North Nagpur,Indora,Chain Snatching,05:15,2025-02-09,Resolved
West Nagpur,Gittikhadan,Robbery,03:00,2025-01-08,Resolved
South Nagpur,Mangalwari,Fraud,10:30,2025-05-09,Pending
South Nagpur,Mangalwari,Theft,20:00,2025-02-09,Resolved
North Nagpur,Indora,Assault,23:30,2025-06-11,Resolved
North Nagpur,Panchpaoli,Chain Snatching,20:30,2025-01-28,Pending
West Nagpur,Dharampeth,Theft,10:00,2025-04-23,Pending
East Nagpur,Lakadganj,Assault,09:15,2025-04-17,Resolved
North Nagpur,Panchpaoli,Robbery,12:00,2025-06-16,Resolved
South Nagpur,Mangalwari,Harassment,17:15,2025-06-10,Resolved
South Nagpur,Ajni,Robbery,03:30,2025-01-27,Pending
South Nagpur,Ajni,Theft,01:15,2025-05-10,Pending
West Nagpur,Dharampeth,Harassment,10:00,2025-01-10,Pending
North Nagpur,Jaripatka,Harassment,00:15,2025-03-04,Resolved
North Nagpur,Panchpaoli,Theft,03:45,2025-02-09,Resolved
South Nagpur,Hudkeshwar,Theft,18:45,2025-04-26,Resolved
West Nagpur,Wadi,Robbery,05:00,2025-01-09,Resolved
East Nagpur,Hanuman Nagar,Chain Snatching,12:30,2025-06-11,Resolved
North Nagpur,Panchpaoli,Theft,05:00,2025-02-27,Pending
North Nagpur,Jaripatka,Robbery,23:00,2025-06-01,Resolved
West Nagpur,Gittikhadan,Theft,04:30,2025-01-18,Resolved
West Nagpur,Bharat Nagar,Assault,04:15,2025-01-17,Resolved
West Nagpur,Wadi,Robbery,21:30,2025-04-21,Resolved
North Nagpur,Jaripatka,Robbery,10:15,2025-01-09,Pending
East Nagpur,Hanuman Nagar,Assault,05:45,2025-02-11,Pending
North Nagpur,Indora,Theft,14:30,2025-04-13,Resolved
West Nagpur,Wadi,Chain Snatching,04:00,2025-02-18,Resolved
North Nagpur,Jaripatka,Chain Snatching,23:15,2025-05-06,Resolved
South Nagpur,Hudkeshwar,Theft,18:00,2025-06-28,Pending
North Nagpur,Mankapur,Robbery,22:00,2025-02-04,Pending
West Nagpur,Wadi,Robbery,15:45,2025-03-05,Resolved
North Nagpur,Jaripatka,Chain Snatching,07:00,2025-07-07,Resolved
West Nagpur,Bharat Nagar,Robbery,16:30,2025-05-24,Pending
West Nagpur,Wadi,Fraud,23:30,,Resolved
South Nagpur,Mangalwari,Chain Snatching,02:00,2025-01-15,Pending
West Nagpur,Gittikhadan,Chain Snatching,02:15,2025-04-20,Resolved
North Nagpur,Panchpaoli,Harassment,19:45,2025-03-13,Resolved
North Nagpur,Panchpaoli,Robbery,19:30,2025-03-05,Pending
West Nagpur,Bharat Nagar,Fraud,06:45,2025-05-30,Resolved
East Nagpur,Hanuman Nagar,Chain Snatching,16:00,2025-01-18,Pending
West Nagpur,Bharat Nagar,Robbery,13:45,2025-03-21,Pending
West Nagpur,Dharampeth,Theft,11:45,2025-06-23,Pending
South Nagpur,Mangalwari,Theft,05:00,2025-04-10,Pending
South Nagpur,Ajni,Harassment,13:15,2025-05-22,Pending
North Nagpur,Panchpaoli,Assault,22:15,2025-02-25,Resolved
North Nagpur,Panchpaoli,Fraud,07:15,2025-01-09,Resolved
North Nagpur,Indora,Fraud,03:00,2025-05-07,Pending
West Nagpur,Bharat Nagar,Assault,17:00,2025-03-18,Pending
North Nagpur,Panchpaoli,Robbery,23:00,2025-01-28,Pending
South Nagpur,Mangalwari,Harassment,,2025-06-27,Pending
North Nagpur,Mankapur,Assault,15:00,2025-03-25,Resolved
East Nagpur,Lakadganj,Assault,10:15,2025-03-24,Resolved
North Nagpur,Mankapur,Chain Snatching,01:45,2025-01-09,Pending
North Nagpur,Panchpaoli,Theft,09:15,2025-04-29,Resolved
South Nagpur,Sakkardara,Harassment,14:15,2025-02-01,Pending
East Nagpur,Itwari,Harassment,22:15,2025-03-06,Pending
East Nagpur,Lakadganj,Theft,22:15,2025-04-03,Resolved
West Nagpur,Wadi,Harassment,11:45,2025-05-31,Pending
North Nagpur,Jaripatka,Assault,13:15,2025-01-09,Resolved
East Nagpur,Itwari,Theft,05:15,2025-06-21,Resolved
South Nagpur,Ajni,Robbery,07:45,2025-03-08,Resolved
West Nagpur,Wadi,Chain Snatching,11:15,2025-07-02,Resolved
North Nagpur,Indora,Robbery,09:30,2025-01-29,Resolved
South Nagpur,Hudkeshwar,Robbery,22:45,2025-05-20,Resolved
North Nagpur,Panchpaoli,Fraud,09:30,2025-04-01,Resolved
West Nagpur,Wadi,Fraud,03:45,2025-06-11,Resolved
West Nagpur,Wadi,Assault,13:15,2025-04-02,Pending
West Nagpur,Bharat Nagar,Harassment,20:30,2025-05-02,Resolved
North Nagpur,Panchpaoli,Chain Snatching,09:15,2025-03-23,Resolved
West Nagpur,Wadi,Harassment,18:30,2025-05-03,Resolved
North Nagpur,Mankapur,Assault,21:30,2025-05-17,Resolved
East Nagpur,Hanuman Nagar,Assault,23:15,2025-04-15,Pending
West Nagpur,Dharampeth,Robbery,01:00,2025-07-01,Pending
East Nagpur,Gandhibagh,Assault,03:30,2025-07-07,Resolved
West Nagpur,Gittikhadan,Fraud,19:45,2025-01-26,Pending
East Nagpur,Itwari,Harassment,13:00,2025-01-25,Pending
South Nagpur,Mangalwari,Robbery,03:45,2025-03-08,Pending
South Nagpur,Ajni,Assault,20:15,2025-03-09,Resolved
West Nagpur,Dharampeth,Robbery,23:15,2025-05-19,Pending
South Nagpur,Ajni,Assault,20:30,2025-03-21,Resolved
South Nagpur,Sakkardara,Robbery,16:00,2025-03-26,Pending
East Nagpur,Gandhibagh,Theft,07:30,2025-03-07,Resolved
West Nagpur,Dharampeth,Harassment,10:00,2025-04-19,Pending
East Nagpur,Itwari,Harassment,09:15,2025-06-10,Pending
North Nagpur,Indora,Assault,03:30,2025-06-20,Pending
North Nagpur,Mankapur,Chain Snatching,20:15,2025-06-23,Pending
South Nagpur,Hudkeshwar,Chain Snatching,21:00,2025-03-16,Resolved
South Nagpur,Sakkardara,Chain Snatching,18:15,2025-02-24,Pending
South Nagpur,Sakkardara,Fraud,22:00,2025-06-04,Pending
East Nagpur,Itwari,Chain Snatching,23:15,2025-05-15,Resolved
North Nagpur,Panchpaoli,Theft,18:45,2025-05-01,Pending
South Nagpur,Hudkeshwar,Assault,16:00,2025-02-15,Resolved
West Nagpur,Bharat Nagar,Robbery,23:30,2025-06-14,Resolved
East Nagpur,Hanuman Nagar,Chain Snatching,01:00,2025-06-21,Pending
South Nagpur,Ajni,Fraud,14:15,2025-05-16,Resolved
West Nagpur,Dharampeth,Theft,08:45,2025-05-24,Resolved
South Nagpur,Hudkeshwar,Chain Snatching,15:30,2025-06-15,Pending
South Nagpur,Hudkeshwar,Assault,20:45,2025-04-15,Pending
South Nagpur,Ajni,Chain Snatching,05:30,2025-02-11,Pending
East Nagpur,Hanuman Nagar,Chain Snatching,18:00,2025-02-25,Resolved
South Nagpur,Ajni,Chain Snatching,19:15,2025-02-22,Resolved
South Nagpur,Mangalwari,Theft,10:15,2025-06-14,Resolved
East Nagpur,Gandhibagh,Theft,09:30,2025-05-03,Resolved
South Nagpur,Mangalwari,Fraud,23:15,2025-04-01,Pending
South Nagpur,Mangalwari,Harassment,17:30,2025-04-30,Resolved
South Nagpur,Sakkardara,Harassment,09:30,2025-05-31,Resolved
West Nagpur,Gittikhadan,Chain Snatching,11:00,2025-05-13,Resolved
North Nagpur,Indora,Fraud,23:45,2025-01-20,Pending
East Nagpur,Itwari,Theft,05:30,2025-01-18,Resolved
South Nagpur,Mangalwari,Fraud,15:45,2025-01-24,Resolved
North Nagpur,Panchpaoli,Assault,15:30,2025-04-06,Resolved
East Nagpur,Hanuman Nagar,Harassment,07:30,2025-02-28,Resolved
East Nagpur,Lakadganj,Chain Snatching,19:00,2025-05-10,Pending
South Nagpur,Hudkeshwar,Fraud,12:00,2025-01-17,Pending
South Nagpur,Mangalwari,Assault,01:15,,Resolved
East Nagpur,Gandhibagh,Chain Snatching,15:45,2025-01-28,Pending
South Nagpur,Mangalwari,Fraud,19:00,2025-04-01,Resolved
North Nagpur,Panchpaoli,Assault,23:00,2025-04-12,Resolved
East Nagpur,Hanuman Nagar,Theft,22:45,2025-03-19,Resolved
North Nagpur,Mankapur,Harassment,11:30,2025-07-03,Resolved
West Nagpur,Gittikhadan,Harassment,02:00,2025-06-22,Resolved
South Nagpur,Ajni,Harassment,03:45,2025-07-03,Resolved
East Nagpur,Gandhibagh,Fraud,02:45,2025-06-23,Pending
East Nagpur,Hanuman Nagar,,11:00,2025-04-30,Pending
West Nagpur,Bharat Nagar,Assault,01:15,2025-06-17,Pending
West Nagpur,Dharampeth,Harassment,02:00,2025-01-31,Resolved
East Nagpur,Itwari,Theft,20:15,2025-01-07,Pending
South Nagpur,Sakkardara,Fraud,12:15,2025-04-17,Resolved
North Nagpur,Panchpaoli,Assault,17:15,2025-04-01,Pending
South Nagpur,Mangalwari,Fraud,17:00,2025-06-06,Resolved
East Nagpur,Hanuman Nagar,Robbery,03:30,2025-05-24,Resolved
South Nagpur,Ajni,Harassment,18:45,2025-06-16,Resolved
North Nagpur,Indora,Theft,01:45,,Resolved
North Nagpur,Indora,Chain Snatching,05:00,2025-04-25,Resolved
East Nagpur,Hanuman Nagar,Harassment,07:15,2025-05-02,Resolved
West Nagpur,Bharat Nagar,Assault,09:30,2025-05-22,Pending
North Nagpur,Indora,Fraud,10:00,2025-06-10,Pending
South Nagpur,Mangalwari,Fraud,04:00,2025-03-28,Resolved
East Nagpur,Itwari,Chain Snatching,13:30,2025-01-16,Resolved
East Nagpur,Itwari,Robbery,08:30,2025-03-16,Resolved
North Nagpur,Mankapur,Assault,10:45,2025-01-09,Pending
West Nagpur,Bharat Nagar,Fraud,22:15,2025-01-19,Resolved
East Nagpur,Hanuman Nagar,Theft,22:45,2025-03-23,Resolved
North Nagpur,Jaripatka,Harassment,07:30,2025-02-27,Resolved
East Nagpur,Gandhibagh,Robbery,20:00,2025-03-26,Resolved
North Nagpur,Indora,Theft,09:45,2025-05-18,Pending
South Nagpur,Sakkardara,Fraud,03:30,2025-01-23,Pending
South Nagpur,Mangalwari,Assault,17:45,2025-03-03,Pending
West Nagpur,Dharampeth,Robbery,04:30,2025-03-12,Resolved
West Nagpur,Gittikhadan,Robbery,13:45,2025-04-22,Resolved
East Nagpur,Lakadganj,Chain Snatching,21:30,2025-05-30,Resolved
North Nagpur,Mankapur,Theft,06:00,2025-06-09,Pending
North Nagpur,Panchpaoli,Harassment,07:30,2025-05-01,Resolved
South Nagpur,Sakkardara,Chain Snatching,14:00,2025-05-26,Resolved
East Nagpur,Hanuman Nagar,Harassment,19:15,2025-05-04,Resolved
North Nagpur,Mankapur,Assault,10:00,2025-04-29,Pending
West Nagpur,Wadi,Chain Snatching,01:45,2025-01-16,Pending
West Nagpur,Gittikhadan,Fraud,23:00,2025-02-28,Resolved
South Nagpur,Ajni,Robbery,03:30,2025-01-15,Pending
North Nagpur,Mankapur,Harassment,09:30,2025-03-20,Pending
South Nagpur,Hudkeshwar,Harassment,05:00,2025-05-02,Pending
East Nagpur,Itwari,Chain Snatching,16:00,2025-02-23,Resolved
West Nagpur,Wadi,Chain Snatching,,2025-04-18,Resolved
East Nagpur,Gandhibagh,Harassment,06:00,2025-06-21,Pending
East Nagpur,Gandhibagh,Assault,07:15,2025-01-28,Pending
West Nagpur,Dharampeth,Robbery,01:30,2025-02-27,Resolved
West Nagpur,Wadi,Fraud,07:45,2025-06-16,Resolved
North Nagpur,Jaripatka,Chain Snatching,02:00,2025-03-18,Pending
South Nagpur,Mangalwari,Harassment,18:00,,Resolved
North Nagpur,Jaripatka,Chain Snatching,07:15,2025-03-08,Pending
North Nagpur,Mankapur,Chain Snatching,23:30,2025-05-07,Resolved
North Nagpur,Indora,Theft,00:00,2025-03-11,Pending
North Nagpur,Panchpaoli,Fraud,00:30,2025-03-04,Pending
West Nagpur,Bharat Nagar,Fraud,04:15,2025-06-16,Pending
North Nagpur,Panchpaoli,Chain Snatching,04:30,2025-01-08,Resolved
East Nagpur,Itwari,Theft,16:30,2025-04-16,Pending
North Nagpur,Mankapur,Theft,02:45,2025-01-14,Pending
East Nagpur,Gandhibagh,Assault,23:15,2025-04-04,Resolved
West Nagpur,Bharat Nagar,Fraud,18:45,2025-02-23,Resolved
East Nagpur,Lakadganj,Assault,,2025-02-28,Resolved
West Nagpur,Wadi,Assault,17:15,2025-02-16,Resolved
West Nagpur,Gittikhadan,Fraud,,2025-04-02,Resolved
West Nagpur,Gittikhadan,Theft,00:30,2025-06-21,Pending
South Nagpur,Ajni,Harassment,19:30,2025-06-22,Resolved
West Nagpur,Wadi,Robbery,13:00,2025-01-12,Resolved
North Nagpur,Panchpaoli,Harassment,19:15,2025-04-12,Pending
North Nagpur,Panchpaoli,Assault,10:30,2025-06-06,Resolved
South Nagpur,Sakkardara,Fraud,21:45,2025-05-11,Resolved
East Nagpur,Gandhibagh,Robbery,18:00,2025-03-13,Pending
West Nagpur,Wadi,Robbery,00:45,2025-03-19,Resolved
South Nagpur,Mangalwari,Harassment,23:30,2025-05-12,Resolved
West Nagpur,Dharampeth,Robbery,09:00,2025-07-04,Resolved
North Nagpur,Jaripatka,Harassment,04:45,2025-04-02,Resolved
North Nagpur,Indora,Robbery,17:30,2025-07-06,Resolved
West Nagpur,Gittikhadan,Theft,12:30,2025-01-26,Resolved
South Nagpur,Sakkardara,Theft,07:15,2025-04-02,Pending
North Nagpur,Indora,Chain Snatching,22:00,2025-04-14,Resolved
West Nagpur,Gittikhadan,Assault,19:00,2025-04-23,Resolved
South Nagpur,Hudkeshwar,Fraud,02:45,,Pending
East Nagpur,Hanuman Nagar,Assault,07:00,2025-02-04,Resolved
West Nagpur,Wadi,Robbery,02:15,2025-04-02,Pending
East Nagpur,Gandhibagh,Harassment,01:15,2025-06-27,Resolved
South Nagpur,Hudkeshwar,Assault,13:45,2025-03-24,Pending
South Nagpur,Ajni,Harassment,09:00,2025-03-24,Resolved
South Nagpur,Ajni,Fraud,11:00,2025-03-15,Pending
South Nagpur,Hudkeshwar,Robbery,18:00,2025-03-16,Resolved
North Nagpur,Jaripatka,Theft,00:15,2025-01-16,Pending
South Nagpur,Ajni,Theft,03:15,2025-07-06,Pending
West Nagpur,Dharampeth,Theft,23:15,2025-01-24,Pending
North Nagpur,Indora,Chain Snatching,14:45,,Pending
South Nagpur,Sakkardara,Theft,10:30,2025-04-05,Pending
East Nagpur,Lakadganj,Fraud,08:00,2025-02-04,Resolved
West Nagpur,Gittikhadan,Robbery,02:00,2025-01-30,Pending
South Nagpur,Mangalwari,Harassment,03:30,2025-06-16,Resolved
East Nagpur,Hanuman Nagar,Harassment,15:00,2025-02-28,Resolved
South Nagpur,Mangalwari,Harassment,14:45,2025-01-27,Pending
West Nagpur,Dharampeth,Fraud,03:30,2025-04-19,Pending
East Nagpur,Itwari,Harassment,08:00,2025-05-06,Pending
North Nagpur,Jaripatka,Assault,10:15,2025-02-02,Pending
North Nagpur,Jaripatka,Fraud,11:00,2025-06-19,Pending
East Nagpur,Itwari,Theft,07:00,2025-04-11,Pending
East Nagpur,Gandhibagh,Harassment,11:15,2025-03-12,Pending
East Nagpur,Gandhibagh,Fraud,17:30,2025-02-07,Resolved
West Nagpur,Gittikhadan,Chain Snatching,18:00,2025-05-16,Pending
North Nagpur,Panchpaoli,Assault,18:00,2025-07-06,Pending
East Nagpur,Itwari,Fraud,13:45,2025-06-13,Resolved
North Nagpur,Panchpaoli,Harassment,21:45,2025-01-14,Resolved
South Nagpur,Mangalwari,Robbery,23:15,2025-04-13,Pending
South Nagpur,Mangalwari,Fraud,04:30,2025-02-20,Pending
East Nagpur,Lakadganj,Theft,13:15,2025-04-14,Pending
West Nagpur,Dharampeth,Harassment,07:30,2025-06-09,Pending
West Nagpur,Wadi,Robbery,07:45,2025-06-26,Resolved
North Nagpur,Panchpaoli,Robbery,01:45,2025-03-25,Resolved
South Nagpur,Sakkardara,,01:45,2025-03-04,Pending
South Nagpur,Hudkeshwar,Theft,02:30,2025-01-31,Resolved
North Nagpur,Mankapur,Assault,13:45,2025-06-22,Pending
North Nagpur,Indora,Robbery,01:00,2025-02-22,Pending
South Nagpur,Sakkardara,Harassment,17:15,2025-05-08,Pending
East Nagpur,Lakadganj,Assault,21:30,2025-03-05,Resolved
East Nagpur,Itwari,Chain Snatching,10:30,2025-05-04,Pending
East Nagpur,Itwari,Robbery,14:15,2025-02-03,Pending
North Nagpur,Mankapur,Assault,04:15,2025-06-04,Resolved
South Nagpur,Hudkeshwar,Robbery,23:45,2025-06-07,Pending
East Nagpur,Lakadganj,Theft,14:45,2025-01-16,Pending
East Nagpur,Lakadganj,Robbery,03:15,2025-01-21,Pending
South Nagpur,Sakkardara,Theft,14:45,2025-02-11,Resolved
East Nagpur,Lakadganj,Chain Snatching,13:30,2025-02-19,Resolved
North Nagpur,Indora,Robbery,22:00,2025-03-07,Pending
North Nagpur,Mankapur,Robbery,15:30,2025-01-26,Pending
West Nagpur,Dharampeth,Robbery,19:45,2025-05-18,Resolved
West Nagpur,Wadi,Chain Snatching,11:45,2025-03-09,Pending
South Nagpur,Sakkardara,Harassment,03:30,2025-04-20,Pending
South Nagpur,Mangalwari,Fraud,16:15,2025-05-09,Resolved
North Nagpur,Indora,Harassment,19:00,2025-03-18,Resolved
South Nagpur,Hudkeshwar,Harassment,09:45,2025-04-11,Pending
North Nagpur,Jaripatka,Harassment,05:00,2025-05-16,Resolved
East Nagpur,Lakadganj,Chain Snatching,,2025-02-26,Resolved
North Nagpur,Mankapur,Chain Snatching,17:00,2025-03-26,Pending
West Nagpur,Dharampeth,Assault,01:15,2025-05-11,Pending
South Nagpur,Sakkardara,Chain Snatching,22:15,2025-06-09,Pending
North Nagpur,Mankapur,Harassment,09:30,2025-03-24,Resolved
West Nagpur,Bharat Nagar,Fraud,20:00,2025-01-14,Resolved
South Nagpur,Mangalwari,Chain Snatching,14:00,2025-02-06,Resolved
North Nagpur,Panchpaoli,Assault,18:00,2025-02-26,Pending
North Nagpur,Jaripatka,,07:30,2025-06-30,Pending
West Nagpur,Bharat Nagar,Chain Snatching,05:15,2025-02-19,Resolved
East Nagpur,Gandhibagh,Robbery,20:45,2025-04-19,Pending
East Nagpur,Itwari,Chain Snatching,09:15,2025-02-23,Pending
South Nagpur,Ajni,Harassment,06:30,2025-03-14,Resolved
East Nagpur,Gandhibagh,Chain Snatching,11:15,2025-01-13,Pending
